Time,Memory Limit,Memory (VM view),Memory (Host view),Swap used (Host view),CT,BW (Download),BW (Upload)
1707909072.1155827,999997440,1903264,236924928,2029686784,167.206,70299645,2749612
1707909106.1988788,999997440,1903124,237404160,2029686784,169.836,70165089,2788170
1707909140.6054835,999997440,1902768,238034944,2029686784,171.375,69144537,2834489
1707909174.5607228,999997440,1902520,238096384,2029686784,168.976,67563089,2718440
1707909205.601258,999997440,1903336,238206976,2029686784,154.391,54880320,2383053
1707909239.9891143,999997440,1903444,238641152,2029162496,171.321,54511851,2304036
1707909273.3172495,999997440,1903124,238866432,2029162496,166.014,55888090,2332041
1707909305.6887147,999997440,1903036,238809088,2029162496,161.215,55454507,2238911
1707909339.4292827,799997952,1903600,239599616,2029162496,168.106,57453006,2309406
1707909373.9725506,799997952,1903664,239960064,2029162496,172.069,58112310,2362722
1707909404.6196706,799997952,1903420,240050176,2029162496,152.596,57742716,2426582
1707909435.8093975,799997952,1903348,240443392,2029162496,155.158,59737114,2568664
1707909464.9021845,799997952,1903216,239988736,2029162496,144.704,56995031,2428114
1707909493.6430695,799997952,1903172,240902144,2028900352,142.954,55146203,2422036
1707909524.9811044,799997952,1903068,240730112,2028376064,155.962,59717634,2614841
1707909560.0261693,799997952,1903060,240906240,2028113920,174.451,57255076,2417359
1707909595.1600707,799997952,1903668,240496640,2028113920,174.837,60972971,2486193
1707909626.3783782,799997952,1910212,243097600,2025754624,155.484,60163339,2591004
1707909655.3069186,799997952,1903664,243105792,2025754624,143.843,54039138,2363720
1707909689.9087117,599998464,1903980,243556352,2025754624,172.4,59631814,2530409
1707909720.5433455,599998464,1903796,243462144,2025492480,152.603,59961578,2469215
1707909750.4572337,599998464,1903668,243089408,2025492480,148.805,58250266,2499361
1707909783.859692,599998464,1903804,243232768,2025492480,166.301,67751458,2741855
1707909814.9393668,599998464,1902536,243486720,2025492480,154.784,57693353,2510169
1707909844.6456454,599998464,1903568,243544064,2024706048,147.925,57988827,2440606
1707909873.3493185,599998464,1903332,243871744,2024706048,142.916,55210807,2310393
1707909902.739123,599998464,1903528,243965952,2024706048,146.247,56975386,2468910
1707909936.4706633,599998464,1903216,244408320,2024443904,167.977,55273438,2397627
1707909968.698781,599998464,1903220,244633600,2024443904,160.424,58945797,2609801
1707909997.4859345,599998464,1903192,243871744,2024181760,143.302,55918027,2405736
1707910029.1043718,599998464,1903812,244699136,2024181760,157.508,57225424,2349666
1707910058.168497,399998976,1903160,245239808,2024181760,144.613,55161450,2425449
1707910088.2620945,399998976,1902956,244785152,2023919616,149.859,55235313,2367694
1707910117.2265368,399998976,1901448,244740096,2023919616,144.279,57336337,2375338
1707910149.3897197,399998976,1903312,244801536,2023657472,160.273,65665176,2628248
1707910183.3469484,399998976,1903064,245313536,2023657472,169.223,57556702,2421592
1707910218.6611006,399998976,1903148,245342208,2023395328,175.921,58943331,2444125
1707910252.7803414,399998976,1903592,245067776,2023395328,169.94,56031644,2360528
1707910286.6234274,399998976,1903368,245493760,2023395328,168.697,56446056,2367685
1707910315.1052015,399998976,1903200,245948416,2023395328,141.81,54513383,2354101
1707910348.5469139,399998976,1903380,246145024,2023133184,166.445,70781374,2861328
1707910378.3788166,399998976,1903300,246132736,2022871040,148.5,56207049,2449264
1707910408.04377,299999232,1903664,246411264,2022871040,147.514,57581364,2470875
1707910438.0489233,299999232,1903440,246370304,2022871040,149.301,56871427,2537338
1707910466.7347596,299999232,1902880,246247424,2022871040,142.712,55697384,2443443
1707910496.3021483,299999232,1903496,245784576,2022608896,147.172,57109043,2483185
1707910525.008518,299999232,1903480,245882880,2022608896,142.868,56579650,2424918
1707910553.69549,299999232,1903508,245919744,2022346752,142.745,56923889,2397057
1707910582.865477,299999232,1903360,246808576,2022346752,145.142,57264281,2434120
1707910612.448606,299999232,1902700,246534144,2022346752,147.245,55968498,2461289
1707910641.2681568,299999232,1903080,246534144,2022084608,143.387,55321431,2455835
